,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-28_1407CEST,4.397986045296784,5.549769301166863,3.2462027894267034,95.07927253123587,55300,102.23780741160593,1979.286505164,2062.0066103124996,0.1431901454877651,0,18.0,22640474.0,23210.747139602347,29289.381686480338,17132.112592724356
3g_report.2010-11-10_1424CET,5.465216974234091,7.04623040586438,3.8842035426038013,109.39312555739878,63450,635.9596508050661,2240.011508844146,2235.878026875,0.0843513170049398,0,18.0,25930965.0,21844.324501779658,28163.592447595158,15525.056555964156
3g_report.2010-11-16_1857CET,3.209976832111809,4.08560081829034,2.3343528459332785,72.06328364860084,65200,86.67057257436387,1567.7462208193763,2144.551822604167,0.14062553726967852,0,31.0,27070616.0,24254.5662026785,30870.775930101438,17638.35647525556
3g_report.2010-11-23_1606CET,4.968058514947156,6.230939703041182,3.7051773268531294,107.2761692038232,62300,168.0447873439936,2106.591745868751,2213.2709283333334,0.11222776335202175,0,18.0,26038342.0,23084.8689060428,28953.045897788295,17216.69191429731
3g_report.2010-12-09_1334CET,-0.5730021638946824,-0.4643542924637653,-0.6816500353255994,-88.67790489427102,70500,38.8485030295155,201.07225353727694,2357.8998966666663,93.76435497237775,30,21.0,29242751.0,160531.68340297244,130093.0100471759,190970.356758769
3g_report.2011-01-31_1830CET,5.0905653476272725,6.400507716336504,3.78062297891804,115.0684610156681,66850,117.62034736537164,2061.3277475147597,2194.491045625,0.1366863396415097,0,14.0,27824217.0,24207.198216176468,30436.375607228376,17978.02082512456
3g_report.2011-02-01_0740CET,3.420696481012956,3.942453956123455,2.8989390059024567,102.19468163778834,65950,158.44199587035916,1859.069988354383,2294.204481354167,4.313673202001346,1,19.0,26924814.0,30587.017262323858,35252.442852268476,25921.59167237924
3g_report.2011-02-02_1251CET,4.080376335729298,5.015297681033897,3.1454549904246987,103.35348695558052,67950,74.46710020090188,697.6523439744101,2297.02702125,1.28291285261967,2,20.0,27451277.0,26732.843942470266,32858.04033763197,20607.647547308567
3g_report.2011-02-10_1611CET,4.7680721555886745,5.999371140315047,3.5367731708623023,106.96311519488984,66200,283.04794092668936,1799.8665313290908,2229.494281875,4.365507634546647,0,18.0,27317642.0,24036.095714643365,30243.13690120283,17829.054528083896
4g_report_bus_0001,-0.8766966297823093,-0.6756886748338469,-1.0777045847307718,-256.57204995863106,67900,26.62441403210158,183.37140441918956,2310.8856605208334,198.36049758815454,41,21.0,27737622.0,308896.0187921007,238072.7089722152,379719.3286119863
4g_report_car_0001,2.8909335662646582,3.595281020132834,2.1865861123964825,64.55062173825499,60050,307.07349270899454,2045.267221242666,2142.5811691666663,1.589795360275617,1,31.0,24518436.0,23737.72606902058,29521.188931136112,17954.26320690505
4g_report_car_0002,4.68110553493227,5.782867647462619,3.57934342240192,112.2693635808706,67550,77.19431147629166,1224.0012730624048,2254.6237260416665,0.34947178045654037,1,16.0,27743557.0,25390.02165962378,31365.90998176202,19414.13333748554
4g_report_foot_0001,4.6764438534658845,5.927112642970092,3.425775063961677,102.03487707752427,66450,130.89381394666788,2050.626185995081,2295.122570520833,0.117920601149568,0,23.0,27626003.0,23499.701474302165,29784.464879468134,17214.93806913619
4g_report_foot_0005,4.856296300259936,6.083005948654421,3.6295866518654516,111.85348868733996,68800,90.48424965812528,1595.0803609014818,2365.1695403125,0.14966256204670317,0,22.0,28195378.0,24602.503410826008,30817.14239549897,18387.864426153043
4g_report_foot_0006,4.2231994966568855,5.286640299938975,3.159758693374795,96.73428938421628,60750,69.11752670457683,1270.2288257958119,2136.906059375,0.16271535764913397,0,20.0,25035813.0,24456.165418501594,30614.45470093755,18297.876136065643
4g_report_train_0003,5.098601125320245,6.443889194838103,3.753313055802386,113.8416279939091,64350,347.9012006665699,2101.4960940934548,2242.9842590625003,3.994056674486715,0,14.0,27034511.0,23998.786481193805,30330.970612194764,17666.602350192843
4g_report_tram_0001,4.3840827368502415,5.5270065501172425,3.2411589235832405,99.39983089798949,63050,223.5819197124514,1455.7160296247462,2217.396421979167,0.15378951223828255,0,21.0,26396521.0,24326.189278598544,30667.990444633524,17984.388112563563
hd_trace0000,2.1701326195462336,2.416440897605982,1.9238243414864853,70.56108148472325,60250,228.95217944069776,1254.2550682894669,2164.5797327083333,13.612548479203463,2,22.0,24600615.0,32938.962111645684,36677.50738105469,29200.416842236682
hd_trace0001,1.5747013898508953,1.5801938908209574,1.5692088888808329,74.04220550396542,59800,67.87566965575895,1146.1958601818033,2148.5826071875,16.679751924104167,2,19.0,24341921.0,47020.41084196698,47184.41631870481,46856.40536522914
hd_trace0003,2.532741502445912,2.7023441475526044,2.3631388573392202,95.01572830254335,70950,183.82797423264608,1680.5894608634733,2354.998617291666,9.338420359971478,2,21.0,28451912.0,37683.954511412965,40207.4249710093,35160.48405181663
hd_trace0004,4.629906058736377,5.819204687936863,3.4406074295358904,110.73681120990037,73500,74.43346611859839,1058.9629297387037,2332.1454979166665,0.15490093041827088,0,22.0,29754985.0,25607.397098208916,32185.25027275136,19029.543923666468
pen_trace_215252_http---www.msn.com,4.60779299571379,5.71095650985446,3.5046294815731205,108.32883502762253,68900,204.01836170465384,1561.9198009384604,2299.5745044791665,0.08464217831881281,0,20.0,27506504.0,24939.403973499455,30910.210507901407,18968.597439097503
pen_trace_28919_http---www.google.com-mobile-,3.4787646023927397,4.371638842615349,2.5858903621701304,76.38274402492999,63100,261.83530311137775,1770.460044946295,2157.8012537499994,0.10591012539570949,0,29.0,26012819.0,23505.306303197987,29538.27630991597,17472.336296480004
pen_trace_6780_http---www.facebook.com,-0.7027362582038672,-0.5362861595952846,-0.8691863568124498,-236.0684448322378,67350,82.54855836172092,846.7746783735637,2277.0264519791667,234.6037736048898,13,26.0,27193265.0,355894.11871120863,271597.0435821922,440191.19384022505
