CMDLINE /Users/andreabalillo/PycharmProjects/GreenABR+/venv/bin/python agent.py
MEM 0.097656 1694901219.8562
MEM 17.574219 1694901219.9580
MEM 30.117188 1694901220.0582
MEM 36.062500 1694901220.1619
MEM 40.335938 1694901220.2662
MEM 53.414062 1694901220.3676
MEM 59.863281 1694901220.4684
MEM 69.605469 1694901220.5687
MEM 77.003906 1694901220.6727
MEM 85.019531 1694901220.7753
MEM 93.492188 1694901220.8789
MEM 104.949219 1694901220.9792
MEM 107.121094 1694901221.0816
MEM 109.207031 1694901221.1840
MEM 112.664062 1694901221.2842
MEM 115.007812 1694901221.3862
MEM 118.488281 1694901221.4873
MEM 121.140625 1694901221.5893
MEM 124.675781 1694901221.6908
MEM 127.109375 1694901221.7959
MEM 128.832031 1694901221.8961
MEM 130.679688 1694901222.0013
MEM 132.937500 1694901222.1027
MEM 134.917969 1694901222.2038
MEM 138.117188 1694901222.3080
MEM 140.980469 1694901222.4087
MEM 144.761719 1694901222.5138
MEM 147.335938 1694901222.6148
MEM 149.902344 1694901222.7200
MEM 153.144531 1694901222.8237
MEM 156.109375 1694901222.9288
MEM 157.714844 1694901223.0335
MEM 159.976562 1694901223.1354
MEM 162.636719 1694901223.2405
MEM 164.617188 1694901223.3447
MEM 167.019531 1694901223.4473
MEM 169.027344 1694901223.5505
MEM 170.070312 1694901223.6525
MEM 171.484375 1694901223.7535
MEM 173.832031 1694901223.8580
MEM 182.007812 1694901223.9589
MEM 231.218750 1694901224.0592
MEM 234.964844 1694901224.1594
MEM 239.796875 1694901224.2596
MEM 249.292969 1694901224.3622
MEM 258.152344 1694901224.4625
MEM 263.855469 1694901224.5627
MEM 267.394531 1694901224.6638
MEM 273.144531 1694901224.7675
MEM 279.410156 1694901224.8709
MEM 285.957031 1694901224.9713
MEM 291.808594 1694901225.0719
MEM 297.660156 1694901225.1741
MEM 301.742188 1694901225.2790
MEM 306.929688 1694901225.3832
MEM 314.359375 1694901225.4874
MEM 320.308594 1694901225.5916
MEM 325.367188 1694901225.6952
MEM 329.640625 1694901225.7974
MEM 337.597656 1694901225.8978
MEM 343.546875 1694901225.9989
MEM 349.359375 1694901226.0996
MEM 350.734375 1694901226.2014
MEM 352.332031 1694901226.3016
MEM 353.644531 1694901226.4063
MEM 358.351562 1694901226.5081
MEM 362.035156 1694901226.6086
MEM 367.292969 1694901226.7132
MEM 371.304688 1694901226.8133
MEM 378.503906 1694901226.9144
MEM 383.113281 1694901227.0150
MEM 386.871094 1694901227.1153
MEM 390.644531 1694901227.2165
MEM 394.199219 1694901227.3177
MEM 398.183594 1694901227.4180
MEM 402.660156 1694901227.5205
MEM 404.031250 1694901227.6229
MEM 404.031250 1694901227.7259
MEM 398.917969 1694901227.8290
MEM 398.917969 1694901227.9303
MEM 395.304688 1694901228.0335
MEM 395.054688 1694901228.1381
MEM 394.917969 1694901228.2415
